,name,gene_reaction_rule,subunit_mw,subunit_num
TDPDRR,DTDP-4-dehydrorhamnose reductase,b2040,32.69414,1
G3PD6,Glycerol-3-phosphate dehydrogenase (menaquinone-8),b2242 and b2243 and b2241,45.35724 and 44.10804 and 58.95825 ,1 and 1 and 1 
ALLTN,Allantoinase,b0512,49.6016,4
UAPGR,UDP-N-acetylenolpyruvoylglucosamine reductase,b3972,37.85103,1
NDPK7,Nucleoside-diphosphate kinase (ATP:dCDP),b0474 or b2518,23.58602 or 15.46344 ,1 or 4 
GLYAT,Glycine C-acetyltransferase,b3617,43.11704,2
ADNUC,Adenosine hydrolase,b0030,32.56077,1
GMHEPPA,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",b0200,21.29424,1
S7PI,Sedoheptulose 7-phosphate isomerase,b0222,20.81475,4
TRPS3,Tryptophan synthase (indoleglycerol phosphate),b1260 and b1261,28.72416 and 42.98301 ,2 and 2 
CRNBTCT,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,b0038,45.12675,2
CRNCBCT,Crotonobetainyl-CoA: carnitine CoA transferase,b0038,45.12675,2
CRNCDH,Carnityl-CoA dehydratse,b0036,28.19024,1
FADRx,FAD reductase,b3844,26.24199,1
GTPDPK,GTP diphosphokinase,b2784,83.87562,1
NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),b0474 or b2518,23.58602 or 15.46344 ,1 or 4 
NDPK3,Nucleoside-diphosphate kinase (ATP:CDP),b2518 or b0474,15.46344 or 23.58602 ,4 or 1 
NDPK4,Nucleoside-diphosphate kinase (ATP:dTDP),b0474 or b2518,23.58602 or 15.46344 ,1 or 4 
FCLT,Ferrochelatase,b2431 or b0475 or b1019,33.052 or 35.88437 or 46.754 ,1 or 1 or 2 
HBZOPT,Hydroxybenzoate octaprenyltransferase,b4040,32.51175,1
PNTK,Pantothenate kinase,b3974,36.35978,2
DPCOAK,Dephospho-CoA kinase,b0103,22.62171,1
HETZK,Hydroxyethylthiazole kinase,b2104,27.33916,2
KDOPS,3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase,b1215,30.83269,4
KDOPP,3-deoxy-manno-octulosonate-8-phosphatase,b3198,19.99711,4
AST,Arginine succinyltransferase,b1747,38.45587,1
SGDS,Succinylglutamate desuccinylase,b1744,35.80018,1
CYNTAH,Cyanate aminohydrolase,b0340,17.04884,10
GSPMDA,Glutathionylspermidine amidase,b2988,70.53196,2
GSPMDS,Glutathionylspermidine synthetase,b2988,70.53196,2
GUAD,Guanine deaminase,b2883,50.24422,1
TMAOR1,Trimethylamine N-oxide reductase (menaquinol 8),( b0896 and b0895 and b0894 ) or ( b1588 and b1589 and b1590 and b1587 ),( 30.82622 and 22.86894 and 90.39861 ) or ( 89.98705 and 22.75175 and 30.52367 and 89.78001 ) ,( 1 and 1 and 1 ) or ( 1 and 1 and 1 and 1 ) 
TMAOR2,Trimethylamine N-oxide reductase (demethylmenaquinol 8),b0896 and b0895 and b0894,30.82622 and 22.86894 and 90.39861 ,1 and 1 and 1 
DGK1,Deoxyguanylate kinase (dGMP:ATP),b3648,23.59271,2
DTMPK,DTMP kinase,b1098,23.78314,1
NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),b0474 or b2518,23.58602 or 15.46344 ,1 or 4 
TRDR,Thioredoxin reductase (NADPH),( b0888 and b3781 ) or ( b2582 and b0888 ),( 34.62303 and 11.80662 ) or ( 15.55477 and 34.62303 ) ,( 2 and 1 ) or ( 1 and 2 ) 
PGMT,Phosphoglucomutase,b0688 or b2690 or b1317,58.36095 or 20.77981 or 23.565 ,1 or 1 or 1 
FRUK,Fructose-1-phosphate kinase,b2168,33.75569,2
RHCCE,S-ribosylhomocysteine cleavage enzyme,b2687,19.41619,1
KG6PDC,3-keto-L-gulonate 6-phosphate decarboxylase,b4196 or b3581,23.57808 or 23.44476 ,2 or 1 
X5PL3E,L-xylulose 5-phosphate 3-epimerase,b4197 or b3582,32.00663 or 32.455 ,1 or 1 
DOGULNR,"2,3 dioxo-L-gulonate reductase",b3575,36.57272,2
BETALDHx,Betaine-aldehyde dehydrogenase,b0312,52.91113,4
BETALDHy,Betaine-aldehyde dehydrogenase,b0312,52.91113,4
MLTG3,Maltodextrin glucosidase (maltopentaose),b0403,69.041,1
DKGLCNR1,"2,5-diketo-D-gluconate reductase",b3012 or b0207,31.10964 or 29.43679 ,1 or 1 
NADTRHD,NAD transhydrogenase,b3962,51.56039,8
FMNRx2,FMN reductase,b0937 or b3844 or b2764,21.25333 or 26.24199 or  66.26984,2 or 1 or 8
ACPS1,Acyl-carrier protein synthase,b2563 or b3475,14.0523 or 21.7678 ,2 or 1 
GMPS2,GMP synthase,b2507,58.67922,2
AMPN,AMP nucleosidase,b1982,53.99491,6
GSNK,Guanosine kinase,b0477,48.44878,2
ADCS,4-amino-4-deoxychorismate synthase,b1812 and b3360,50.96955 and 20.77186 ,1 and 1 
ADCL,4-aminobenzoate synthase,b1096 or b4039,29.71506 or 18.77692 ,2 or 1 
DHAPT,Dihydroxyacetone phosphotransferase,b2415 and b1198 and b1200 and b2416 and b1199,9.11937 and 51.44862 and 38.21521 and 63.56184 and 22.63175 ,1 and 2 and 2 and 2 and 2 
UMPK,UMP kinase,b0910 or b0171,24.74634 or 25.97026 ,1 or 6 
DDPGALA,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,b4477,21.3906,1
DURIK1,Deoxyuridine kinase (ATP:Deoxyuridine),b1238,23.45658,1
UPPRT,Uracil phosphoribosyltransferase,b2498,22.53326,3
CTPS2,CTP synthase (glutamine),b2780,60.37415,4
NTD1,5'-nucleotidase (dUMP),b2291 or b2744 or b4374 or b2361,22.70806 or 26.90043 or 25.30062 or 20.255 ,2 or 1 or 1 or 1 
NTD7,5'-nucleotidase (AMP),b3399 or b2744 or b2361 or b0675,25.399 or 26.90043 or 20.255 or 27.163 ,1 or 1 or 1 or 1 
PAPPT3,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",b0087,39.87475,1
UAGPT3,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,b0090,37.81473,1
F6PA,Fructose 6-phosphate aldolase,b0825 or b3946,22.99682 or 23.55522 ,10 or 1 
AGMHE,ADP-D-glycero-D-manno-heptose epimerase,b3619,34.89317,5
GMHEPAT,D-glycero-D-manno-hepose 1-phosphate adenyltransferase,b3052,51.05062,2
IDOND,L-idonate 5-dehydrogenase,b4267,37.14659,1
IDOND2,L-indonate 5-dehydrogenase (NADP),b4267,37.14659,1
GLYCLTDx,Glycolate dehydrogenase (NAD),b3553 or b1033,35.3955 or 35.34342 ,2 or 1 
HPYRRy,Hydroxypyruvate reductase (NADPH),b1033 or b3553,35.34342 or 35.3955 ,1 or 2 
ACODA,Acetylornithine deacetylase,b3957,42.34734,2
ADA,Adenosine deaminase,b1623,36.39746,1
DADA,Deoxyadenosine deaminase,b1623,36.39746,1
ADD,Adenine deaminase,b3665,63.73936,2
ADSS,Adenylosuccinate synthase,b4177,47.34495,2
AGDC,N-acetylglucosamine-6-phosphate deacetylase,b0677,40.9491,4
ASNN,L-asparaginase,b1767 or b0828,37.12724 or 33.39398 ,4 or 1 
ASNS2,Asparagine synthetase,b3744 or b0674,36.65055 or 62.65901 ,2 or 2 
ASPCT,Aspartate carbamoyltransferase,( b4244 and b4245 ) or b4245,( 17.12063 and 34.42736 ) or 34.42736 ,( 6 and 6 ) or 6 
DMPPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),b0029,34.77456,2
MCOATA,Malonyl-CoA-ACP transacylase,b1094 and b1092,8.63952 and 32.4172 ,1 and 1 
IPDPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp),b0029,34.77456,2
DAPE,Diaminopimelate epimerase,b3809,30.20856,2
DHDPRy,Dihydrodipicolinate reductase (NADPH),b0031,28.75661,4
HSK,Homoserine kinase,b0003,33.62365,2
SDPTA,Succinyldiaminopimelate transaminase,b2662 or b1302 or b3359 or b1748 or b0907,45.77463 or 44.72907 or 43.76697 or 43.66537 or 39.78331 ,2 or 1 or 2 or 2 or 2 
THRS,Threonine synthase,b0004,47.11384,1
HSST,Homoserine O-succinyltransferase,b4013,35.7273,2
PPNDH,Prephenate dehydratase,b2599,43.11136,2
DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,b0754 or b2601 or b1704,38.00952 or 38.80396 or 38.73506 ,4 or 2 or 2 
NMNDA,Nicotinamide-nucleotide amidase,b2700,17.582,2
NNAM,Nicotinamidase,b1768,23.36205,1
P5CD,1-pyrroline-5-carboxylate dehydrogenase,b1014,143.81516,2
SPMDAT1,Spermidine acetyltransferase,b1584,21.88701,4
SPMDAT2,Spermidine acetyltransferase (N8),b1584,21.88701,4
TDPADGAT,"DTDP-4-amino-4,6-dideoxy-D-glucose acetyltransferase",b3790,24.22038,1
MALS,Malate synthase,b4014 or b2976,60.27357 or 80.48852 ,1 or 1 
TRE6PP,Trehalose-phosphatase,b1897,29.17528,1
ADPRDP,ADPribose diphosphatase,b3397 or b3034,21.15317 or 23.66681 ,2 or 2 
ARAI,L-arabinose isomerase,b0062,56.07399,6
M1PD,Mannitol-1-phosphate 5-dehydrogenase,b3600,41.13902,1
G3PD2,Glycerol-3-phosphate dehydrogenase (NADP),b3608,36.3616,2
GALS3,A-galactosidase (melibiose),b4119,50.65707,2
FCI,L-fucose isomerase,b2802,64.97667,6
FCLK,L-fuculokinase,b2803,52.25869,1
FCLPA,L-fuculose 1-phosphate aldolase,b2738 or b2800,23.22247 or 23.77532 ,1 or 4 
ACCOAL,Acetate-CoA ligase (ADP-forming),b4069 or b0335,72.09359 or 69.351 ,1 or 1 
GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),b1236,32.94226,4
U23GAAT,UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase,b0179,36.03848,3
UAAGDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",b0085,53.3436,1
UAMAS,UDP-N-acetylmuramoyl-L-alanine synthetase,b0091,53.62596,2
UAMAGS,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,b0088,46.97362,1
UGLYCH,Ureidoglycolate hydrolase,b0505,18.16955,1
OP4ENH,2-oxopent-4-enoate hydratase,b0350,28.88988,5
HOPNTAL,4-hydroxy-2-oxopentanoate aldolase,b0352,36.47043,1
3HPPPNH,3-(3-hydroxy-phenyl)propionate hydroxylase,b0347,62.18569,1
AKGDH,2-Oxogluterate dehydrogenase,b0116 and b0727 and b0726,50.68849 and 44.01139 and 105.06172 ,2 and 24 and 12 
HPYRRx,Hydroxypyruvate reductase (NADH),b1033 or b3553,35.34342 or 35.3955 ,1 or 2 
GLYCDx,Glycerol dehydrogenase,b3945,38.7122,8
ASP1DC,Aspartate 1-decarboxylase,b0131,13.83373,1
UGMDDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",b0086,47.44715,1
UHGADA,UDP-3-O-acetylglucosamine deacetylase,b0096,33.95592,1
UAGAAT,UDP-N-acetylglucosamine acyltransferase,b1094 and b0181,8.63952 and 28.08 ,1 and 3 
ATPPRT,ATP phosphoribosyltransferase,b2019,33.36672,2
HISTD,Histidinol dehydrogenase,b2020,46.11034,2
IGPDH,Imidazoleglycerol-phosphate dehydratase,b2022,40.27796,2
PRPPS,Phosphoribosylpyrophosphate synthetase,b1207,34.21827,1
PRATPP,Phosphoribosyl-ATP pyrophosphatase,b2026,22.75582,1
PRMICI,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,b2024,26.03265,1
SERAT,Serine O-acetyltransferase,b3607,29.31664,6
CYSS,Cysteine synthase,b2421 or b2414,32.66416 or 34.48965 ,2 or 2 
BPNT,"3',5'-bisphosphate nucleotidase",b4214,27.17586,1
PAPSR,Phosphoadenylyl-sulfate reductase (thioredoxin),( b2582 and b2762 ) or ( b3781 and b2762 ),( 15.55477 and 27.97583 ) or ( 11.80662 and 27.97583 ) ,( 1 and 2 ) or ( 1 and 2 ) 
ASPK,Aspartate kinase,b3940 or b0002 or b4024,88.88769 or 89.12024 or 48.53173 ,2 or 4 or 2 
ASAD,Aspartate-semialdehyde dehydrogenase,b3433,40.01788,2
DAPDC,Diaminopimelate decarboxylase,b2838,46.17726,2
METAT,Methionine adenosyltransferase,b2942,41.95163,4
ASCBPL,L-ascorbate 6-phosphate lactonase,b4192,40.06066,6
ACBIPGT,Adenosyl cobinamide phosphate guanyltransferase,b1993,20.164,2
ADOCBLS,Adenosylcobalamin 5'-phosphate synthase,b1992,26.38559,1
ADOCBIK,Adenosyl cobinamide kinase,b1993,20.164,2
TMPK,Thiamine-phosphate kinase,b0417,35.07085,1
HPPPNDO,"2,3-dihydroxypheylpropionate 1,2-dioxygenase",b0348,34.19605,4
DHCINDO,"2,3-dihydroxycinnamate 1,2-dioxygenase",b0348,34.19605,4
HKNDDH,"2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase",b0349,31.93747,2
HKNTDH,2-hydroxy-6-ketononotrienedioate hydrolase,b0349,31.93747,2
GLYCK2,Glycerate kinase,b3124,39.10434,1
ENTCS,Enterochelin synthase,b0583,23.25857,1
SULR,Sulfite reductase (NADPH2),b2764 and b2763,66.26984 and 63.99812 ,8 and 4 
MANPGH,2-O-alpha-mannosyl-6-phosphate-D-glycerate hydrolase,b0732,100.01497,1
URDGLYCD,Ureidoglycolate dehydrogenase,b0517,37.96712,2
CBMKr,Carbamate kinase,b0521,31.64413,1
AMANAPEr,N-acetylmannosamine 6-phosphate epimerase,b3223,24.07366,1
ACM6PH,N-acetylmuramate 6-phosphate hydrolase,b2428,31.21992,2
NNATr,Nicotinate-nucleotide adenylyltransferase,b0639,24.52795,1
CYTDH,Cytidine hydrolase,b0651 or b2162 or b0030,33.82292 or 33.748 or 32.56077 ,1 or 4 or 1 
PSERT,Phosphoserine transaminase,b0907,39.78331,2
AIRC2,Phosphoribosylaminoimidazole carboxylase,b0522,39.46112,2
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,b1779,35.53249,4
HEX1,Hexokinase (D-glucose:ATP),b2388,34.72309,1
GND,Phosphogluconate dehydrogenase,b2029,51.48131,2
TAUDO,Taurine dioxygenase,b0368,32.40952,4
ME2,Malic enzyme (NADP),b2463,82.41738,6
ARGSL,Argininosuccinate lyase,b3960,50.31822,1
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),b0032 and b0033,41.43101 and 117.84172 ,2 and 2 
GLU5K,Glutamate 5-kinase,b0242,39.05652,4
IPPS,2-isopropylmalate synthase,b0074,57.29791,1
ACOATA,Acetyl-CoA ACP transacylase,b1094 and b1091,8.63952 and 33.51512 ,1 and 2 
MLTG2,Maltodextrin glucosidase (maltotetraose),b0403,69.041,1
MLTG1,Maltodextrin glucosidase (maltotriose),b0403,69.041,1
AMALT3,Amylomaltase (maltopentaose),b3416,78.50349,1
MLTP3,Maltodextrin phosphorylase (maltoheptaose),b3417,90.5224,2
SPODM,Superoxide dismutase,b3908 or b1656,23.0971 or 21.26578 ,2 or 2 
AHCYSNS,S-adenosylhomocysteine nucleosidase,b0159,24.35397,2
TMK,Thiamine kinase,b1106,32.39731,1
NTPP4,Nucleoside triphosphate pyrophosphorylase (ctp),b1759 or b2781,15.04612 or 30.4123 ,1 or 2 
NTPP3,Nucleoside triphosphate pyrophosphorylase (dctp),b2781 or b2251 or b1759,30.4123 or 16.37072 or 15.04612 ,2 or 1 or 1 
NTPP6,Nucleoside triphosphate pyrophosphorylase (atp),b2781 or b0905,30.4123 or 65.652 ,2 or 1 
NTPP7,Nucleoside triphosphate pyrophosphorylase (dttp),b2251 or b2781 or b3248,16.37072 or 30.4123 or 21.515 ,1 or 2 or 2 
NTPP8,Nucleoside triphosphate pyrophosphorylase (utp),b2781 or b3248,30.4123 or 21.515 ,2 or 2 
P5CR,Pyrroline-5-carboxylate reductase,b0386,28.14488,10
CYANST,Cyanide sulfurtransferase,b2668 or b3425 or b2521,18.639 or 12.08247 or 30.81184 ,2 or 2 or 1 
DHPPDA2,Diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp),b0414,40.33831,2
GMAND,GDP-D-mannose dehydratase,b2053,42.04683,2
PPCSCT,Propanoyl-CoA: succinate CoA-transferase,b2920,53.82445,1
CYTD,Cytidine deaminase,b2143,31.53987,2
DCYTD,Deoxycytidine deaminase,b2143,31.53987,2
DBTS,Dethiobiotin synthase,b0778,24.13959,2
DCTPD,DCTP deaminase,b2065,21.24926,3
DHDPS,Dihydrodipicolinate synthase,b2478,31.26997,4
G1PACT,Glucosamine-1-phosphate N-acetyltransferase,b3730,49.19008,3
GART,GAR transformylase-T,b1849,42.43368,1
CSND,Cytosine deaminase,b0337,47.59098,6
GF6PTA,Glutamine-fructose-6-phosphate transaminase,b3729,66.89434,2
GLUCYS,Gamma-glutamylcysteine synthetase,b2688,58.26929,1
GLUN,Glutaminase,b0485 or b1524,32.90332 or 33.51559 ,4 or 2 
GLUPRT,Glutamine phosphoribosyldiphosphate amidotransferase,b2312,56.48805,4
GMPR,GMP reductase,b0104,37.38367,4
NADS1,NAD synthase (nh3),b1740,30.63683,2
NTRIR2x,Nitrite Reductase (NADH),b3366 and b3365,12.284 and 93.12132 ,1 and 1 
OCBT,Ornithine carbamoyltransferase,b4254 or b0273,36.90711 or 36.82714 ,3 or 3 
GARFT,Phosphoribosylglycinamide formyltransferase,b2500,23.23828,1
GPDDA1,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine),b3449,27.40958,1
GPDDA2,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine),b3449,27.40958,1
PHETA1,Phenylalanine transaminase,b0928 or b4054 or b3770,43.57336 or 43.53781 or 34.09365 ,2 or 2 or 6 
PPND,Prephenate dehydrogenase,b2600,42.04252,2
TRPS1,Tryptophan synthase (indoleglycerol phosphate),b1260 and b1261,28.72416 and 42.98301 ,2 and 2 
PRAMPC,Phosphoribosyl-AMP cyclohydrolase,b2026,22.75582,1
MCITL2,Methylisocitrate lyase,b0331,32.13466,4
DXYLK,1-Deoxy-D-xylulose kinase,b3564,52.61823,2
MDH3,Malate dehydrogenase (menaquinone 8 as acceptor),b2210,60.22962,1
SOTA,Succinylornithine transaminase,b1748,43.66537,2
SGSAD,Succinylglutamic semialdehyde dehydrogenase,b1746,53.02632,1
PTA2,Phosphate acetyltransferase,b2297,77.17209,6
MDH2,Malate dehydrogenase (ubiquinone 8 as acceptor),b2210,60.22962,1
ACOTA,Acetylornithine transaminase,b2662 or b1748 or b3359 or b1302,45.77463 or 43.66537 or 43.76697 or 44.72907 ,2 or 2 or 2 or 1 
GPDDA5,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),b3449,27.40958,1
PDX5PS,Pyridoxine 5'-phosphate synthase,b2564 and b0052,26.38429 and 35.11378 ,8 and 2 
PPBNGS,Porphobilinogen synthase,b0369,35.62479,8
PPNCL2,Phosphopantothenate-cysteine ligase,b3639,43.43814,12
PRAGSr,Phosphoribosylglycinamide synthase,b4005,45.94036,1
PRFGS,Phosphoribosylformylglycinamidine synthase,b2557,141.40271,1
ETHAAL,Ethanolamine ammonia-lyase,b2441 and b2440,49.40305 and 31.78159 ,6 and 6 
MAN1PT2,Mannose-1-phosphate guanylyltransferase (GDP),b2049,53.01629,1
AP4AH,Ap4A hydrolase,b0049,31.29672,1
AP5AH,Ap5A hydrolase,b0049,31.29672,1
ADNCYC,Adenylate cyclase,b3806,97.58601,1
MI1PP,Myo-inositol 1-phosphatase,b2533,29.17213,1
MCITS,2-methylcitrate synthase,b0333,43.10218,2
PPAKr,Propionate kinase,b3115,43.38411,1
NTP3,Nucleoside-triphosphatase (GTP),b3590 or b2918 or b4352 or b4161 or b2727 or b2173 or b4173,68.867 or 36.704 or 35.66 or 39.1933 or 31.565 or 36.113 or 48.327 ,1 or 1 or 1 or 1 or 1 or 1 or 1 
PPM2,Phosphopentomutase 2 (deoxyribose),b4383,44.36996,1
MOAT2,3-deoxy-D-manno-octulosonic acid transferase,b3633,47.29108,1
G6PDH2r,Glucose 6-phosphate dehydrogenase,b1852,55.70444,1
NADH5,NADH dehydrogenase (ubiquinone-8 ),b3713 or b1109 or b0046 or b1004,20.376 or 47.35867 or 20.17 or 20.846 ,2 or 1 or 2 or 4 
MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,b0134,28.23744,10
GMPS,GMP synthase,b2507,58.67922,2
UDPGD,UDPglucose 6-dehydrogenase,b2028,43.65688,2
GLCRD,Glucarate dehydratase,b2788 or b2787,48.84958 or 49.141 ,1 or 1 
PPPNDO,Phenylpropanoate Dioxygenase,b2540 and b2542 and b2538 and b2539,11.32877 and 43.97822 and 51.10921 and 20.57925 ,1 and 1 and 1 and 1 
CHRPL,Chorismate pyruvate lyase,b4039 or b1096,18.77692 or 29.71506 ,1 or 2 
TDPAGTA,"DTDP-4-amino-4,6-dideoxy-D-glucose transaminase",b3791,41.90103,4
UACMAMO,UDP-N-acetyl-D-mannosamine oxidoreductase,b3787,45.83873,2
FBA3,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",b2925,39.14726,2
PMPK,Phosphomethylpyrimidine kinase,b2103,28.63361,4
LCADi,Lactaldehyde dehydrogenase,b1415,52.27279,4
ADK3,Adentylate kinase (GTP),b0474,23.58602,1
GLUDC,Glutamate Decarboxylase,b3517 or b1493,52.68516 or 52.66813 ,6 or 6 
BSORy,Biotin sulfoxide reductase,b3551,85.85066,1
ADSK,Adenylyl-sulfate kinase,b2750,22.32131,2
HSDy,Homoserine dehydrogenase (NADPH),b3940 or b0002,88.88769 or 89.12024 ,2 or 4 
CYSTL,Cystathionine b-lyase,b3008 or b1622,43.21238 or 43.64185 ,4 or 2 
SHSL1,O-succinylhomoserine lyase (L-cysteine),b3939,41.5504,4
SSALy,Succinate-semialdehyde dehydrogenase (NADP),b1525 or b2661,49.71786 or 51.72007 ,2 or 4 
3HCINNMH,3-hydroxycinnamate hydroxylase,b0347,62.18569,1
BSORx,Biotin sulfoxide reductase,b3551,85.85066,1
GLUtex,L-glutamate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GLYtex,Glycine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GLYALDtex,Glyceraldehyde transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GLYBtex,Glycine betaine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GLYCtex,Glycerol transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GLYC3Ptex,Glycerol-3-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GLYCLTtex,Glycolate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
GTPtex,GTP transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,38.922 or 41.21985 or 40.36812 or 39.33331 ,3 or 1 or 3 or 3 
GUAtex,Guanine transport via diffusion (extracellular to periplasm),b0411,33.58902,1
Htex,Proton transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
H2tex,Hydrogen transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
H2Otex,H2O transport via diffusion (extracellular to periplasm),b1377 or b2215 or b1319 or b3875 or b0957 or b0241 or b0929,41.21985 or 40.36812 or 34.91325 or 27.20029 or 37.20076 or 38.922 or 39.33331 ,1 or 3 or 1 or 1 or 1 or 3 or 3 
FACOAL160t2pp,Fatty-acid-CoA ligase (hexadecanoate transport via vectoral Co-A coupling),b1701 or b1805,60.77312 or 62.33199 ,1 or 2 
FACOAL180t2pp,Fatty-acid-CoA ligase (octadecanoate transport via vectoral Co-A coupling),b1701 or b1805,60.77312 or 62.33199 ,1 or 2 
SPODMpp,Superoxide dismutase,b1646,17.68098,1
NO3R1bpp,Nitrate reductase (Ubiquinol-8),b2204 and b2205 and b2202 and b2203 and b2206,31.87354 and 24.92469 and 23.10053 and 16.29652 and 93.04202 ,1 and 1 and 1 and 1 and 1 
PHYTSpp,Phytase (periplasm),b0980,47.05683,2
PPTHpp,Phosphonate hydrogenase (periplasm),b0383,49.43859,2
NO3R2pp,Nitrate reductase (Menaquinol-8) (periplasm),( b1466 and b1467 and b1468 and b1465 ) or ( b1226 and b1224 and b1227 and b1225 ),( 26.16059 and 58.55787 and 140.22665 and 26.01792 ) or ( 26.44886 and 140.48939 and 25.49736 and 58.06641 ) ,( 1 and 1 and 1 and 1 ) or ( 1 and 2 and 2 and 2 ) 
NTP3pp,Nucleoside-triphosphatase (GTP) (periplasm),b0980,47.05683,2
NO3R2bpp,Nitrate reductase (Menaquinol-8) (periplasm),b2203 and b2206 and b2202,16.29652 and 93.04202 and 23.10053 ,1 and 1 and 1 
THD2pp,NAD(P) transhydrogenase (periplasm),b1602 and b1603,48.72303 and 54.62344 ,2 and 2 
TMAOR1pp,Trimethylamine N-oxide reductase (menaquinol 8) (periplasm),( b0997 and b0996 ) or ( b1872 and b1873 ),( 94.45594 and 43.60654 ) or ( 88.964 and 40.28642 ) ,( 1 and 1 ) or ( 1 and 1 ) 
TMAOR2pp,Trimethylamine N-oxide reductase (demethylmenaquinol 8) (periplasm),( b0997 and b0996 ) or ( b1872 and b1873 ),( 94.45594 and 43.60654 ) or ( 88.964 and 40.28642 ) ,( 1 and 1 ) or ( 1 and 1 ) 
DAPtex,"1,5-Diaminopentane transport via diffusion (extracellular to periplasm)",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
12PPDStex,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
DDGLCNtex,2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
26DAHtex,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
HCINNMtex,3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,41.21985 or 38.922 or 39.33331 or 40.36812 ,1 or 3 or 3 or 3 
HPPPNtex,3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,40.36812 or 39.33331 or 41.21985 or 38.922 ,3 or 3 or 1 or 3 
