,name,gene_reaction_rule,subunit_num
IPDPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp),b0029,2
DAPE,Diaminopimelate epimerase,b3809,2
DHDPRy,Dihydrodipicolinate reductase (NADPH),b0031,4
HSK,Homoserine kinase,b0003,2
SDPTA,Succinyldiaminopimelate transaminase,b2662 or b1302 or b3359 or b1748 or b0907,2 or 1 or 2 or 2 or 2 
THRS,Threonine synthase,b0004,1
HSST,Homoserine O-succinyltransferase,b4013,2
PPNDH,Prephenate dehydratase,b2599,2
DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,b0754 or b2601 or b1704,4 or 2 or 2 
NMNDA,Nicotinamide-nucleotide amidase,b2700,2
NNAM,Nicotinamidase,b1768,1
P5CD,1-pyrroline-5-carboxylate dehydrogenase,b1014,2
SPMDAT1,Spermidine acetyltransferase,b1584,4
SPMDAT2,Spermidine acetyltransferase (N8),b1584,4
TDPADGAT,"DTDP-4-amino-4,6-dideoxy-D-glucose acetyltransferase",b3790,1
MALS,Malate synthase,b4014 or b2976,1 or 1 
TRE6PP,Trehalose-phosphatase,b1897,1
ADPRDP,ADPribose diphosphatase,b3397 or b3034,2 or 2 
ARAI,L-arabinose isomerase,b0062,6
M1PD,Mannitol-1-phosphate 5-dehydrogenase,b3600,1
G3PD2,Glycerol-3-phosphate dehydrogenase (NADP),b3608,2
GALS3,A-galactosidase (melibiose),b4119,2
FCI,L-fucose isomerase,b2802,6
FCLK,L-fuculokinase,b2803,1
FCLPA,L-fuculose 1-phosphate aldolase,b2738 or b2800,1 or 4 
ACCOAL,Acetate-CoA ligase (ADP-forming),b4069 or b0335,1 or 1 
GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),b1236,4
U23GAAT,UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase,b0179,3
UAAGDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",b0085,1
UAMAS,UDP-N-acetylmuramoyl-L-alanine synthetase,b0091,2
UAMAGS,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,b0088,1
UGLYCH,Ureidoglycolate hydrolase,b0505,1
OP4ENH,2-oxopent-4-enoate hydratase,b0350,5
HOPNTAL,4-hydroxy-2-oxopentanoate aldolase,b0352,1
3HPPPNH,3-(3-hydroxy-phenyl)propionate hydroxylase,b0347,1
AKGDH,2-Oxogluterate dehydrogenase,b0116 and b0727 and b0726,2 and 24 and 12 
HPYRRx,Hydroxypyruvate reductase (NADH),b1033 or b3553,1 or 2 
GLYCDx,Glycerol dehydrogenase,b3945,8
ASP1DC,Aspartate 1-decarboxylase,b0131,1
UGMDDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",b0086,1
UHGADA,UDP-3-O-acetylglucosamine deacetylase,b0096,1
UAGAAT,UDP-N-acetylglucosamine acyltransferase,b1094 and b0181,1 and 3 
ATPPRT,ATP phosphoribosyltransferase,b2019,2
HISTD,Histidinol dehydrogenase,b2020,2
IGPDH,Imidazoleglycerol-phosphate dehydratase,b2022,2
PRPPS,Phosphoribosylpyrophosphate synthetase,b1207,1
PRATPP,Phosphoribosyl-ATP pyrophosphatase,b2026,1
PRMICI,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,b2024,1
SERAT,Serine O-acetyltransferase,b3607,6
CYSS,Cysteine synthase,b2421 or b2414,2 or 2 
BPNT,"3',5'-bisphosphate nucleotidase",b4214,1
PAPSR,Phosphoadenylyl-sulfate reductase (thioredoxin),( b2582 and b2762 ) or ( b3781 and b2762 ),( 1 and 2 ) or ( 1 and 2 ) 
ASPK,Aspartate kinase,b3940 or b0002 or b4024,2 or 4 or 2 
ASAD,Aspartate-semialdehyde dehydrogenase,b3433,2
DAPDC,Diaminopimelate decarboxylase,b2838,2
METAT,Methionine adenosyltransferase,b2942,4
ASCBPL,L-ascorbate 6-phosphate lactonase,b4192,6
ACBIPGT,Adenosyl cobinamide phosphate guanyltransferase,b1993,2
ADOCBLS,Adenosylcobalamin 5'-phosphate synthase,b1992,1
ADOCBIK,Adenosyl cobinamide kinase,b1993,2
TMPK,Thiamine-phosphate kinase,b0417,1
HPPPNDO,"2,3-dihydroxypheylpropionate 1,2-dioxygenase",b0348,4
DHCINDO,"2,3-dihydroxycinnamate 1,2-dioxygenase",b0348,4
HKNDDH,"2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase",b0349,2
HKNTDH,2-hydroxy-6-ketononotrienedioate hydrolase,b0349,2
GLYCK2,Glycerate kinase,b3124,1
ENTCS,Enterochelin synthase,b0583,1
SULR,Sulfite reductase (NADPH2),b2764 and b2763,8 and 4 
MANPGH,2-O-alpha-mannosyl-6-phosphate-D-glycerate hydrolase,b0732,1
URDGLYCD,Ureidoglycolate dehydrogenase,b0517,2
CBMKr,Carbamate kinase,b0521,1
AMANAPEr,N-acetylmannosamine 6-phosphate epimerase,b3223,1
ACM6PH,N-acetylmuramate 6-phosphate hydrolase,b2428,2
NNATr,Nicotinate-nucleotide adenylyltransferase,b0639,1
CYTDH,Cytidine hydrolase,b0651 or b2162 or b0030,1 or 4 or 1 
PSERT,Phosphoserine transaminase,b0907,2
AIRC2,Phosphoribosylaminoimidazole carboxylase,b0522,2
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,b1779,4
HEX1,Hexokinase (D-glucose:ATP),b2388,1
GND,Phosphogluconate dehydrogenase,b2029,2
TAUDO,Taurine dioxygenase,b0368,4
ME2,Malic enzyme (NADP),b2463,6
ARGSL,Argininosuccinate lyase,b3960,1
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),b0032 and b0033,2 and 2 
GLU5K,Glutamate 5-kinase,b0242,4
IPPS,2-isopropylmalate synthase,b0074,1
ACOATA,Acetyl-CoA ACP transacylase,b1094 and b1091,1 and 2 
MLTG2,Maltodextrin glucosidase (maltotetraose),b0403,1
MLTG1,Maltodextrin glucosidase (maltotriose),b0403,1
AMALT3,Amylomaltase (maltopentaose),b3416,1
MLTP3,Maltodextrin phosphorylase (maltoheptaose),b3417,2
SPODM,Superoxide dismutase,b3908 or b1656,2 or 2 
AHCYSNS,S-adenosylhomocysteine nucleosidase,b0159,2
TMK,Thiamine kinase,b1106,1
NTPP4,Nucleoside triphosphate pyrophosphorylase (ctp),b1759 or b2781,1 or 2 
NTPP3,Nucleoside triphosphate pyrophosphorylase (dctp),b2781 or b2251 or b1759,2 or 1 or 1 
NTPP6,Nucleoside triphosphate pyrophosphorylase (atp),b2781 or b0905,2 or 1 
NTPP7,Nucleoside triphosphate pyrophosphorylase (dttp),b2251 or b2781 or b3248,1 or 2 or 2 
NTPP8,Nucleoside triphosphate pyrophosphorylase (utp),b2781 or b3248,2 or 2 
P5CR,Pyrroline-5-carboxylate reductase,b0386,10
CYANST,Cyanide sulfurtransferase,b2668 or b3425 or b2521,2 or 2 or 1 
DHPPDA2,Diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp),b0414,2
GMAND,GDP-D-mannose dehydratase,b2053,2
PPCSCT,Propanoyl-CoA: succinate CoA-transferase,b2920,1
CYTD,Cytidine deaminase,b2143,2
DCYTD,Deoxycytidine deaminase,b2143,2
DBTS,Dethiobiotin synthase,b0778,2
DCTPD,DCTP deaminase,b2065,3
DHDPS,Dihydrodipicolinate synthase,b2478,4
G1PACT,Glucosamine-1-phosphate N-acetyltransferase,b3730,3
GART,GAR transformylase-T,b1849,1
CSND,Cytosine deaminase,b0337,6
GF6PTA,Glutamine-fructose-6-phosphate transaminase,b3729,2
GLUCYS,Gamma-glutamylcysteine synthetase,b2688,1
GLUN,Glutaminase,b0485 or b1524,4 or 2 
GLUPRT,Glutamine phosphoribosyldiphosphate amidotransferase,b2312,4
GMPR,GMP reductase,b0104,4
NADS1,NAD synthase (nh3),b1740,2
NTRIR2x,Nitrite Reductase (NADH),b3366 and b3365,1 and 1 
OCBT,Ornithine carbamoyltransferase,b4254 or b0273,3 or 3 
GARFT,Phosphoribosylglycinamide formyltransferase,b2500,1
GPDDA1,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine),b3449,1
GPDDA2,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine),b3449,1
PHETA1,Phenylalanine transaminase,b0928 or b4054 or b3770,2 or 2 or 6 
PPND,Prephenate dehydrogenase,b2600,2
TRPS1,Tryptophan synthase (indoleglycerol phosphate),b1260 and b1261,2 and 2 
PRAMPC,Phosphoribosyl-AMP cyclohydrolase,b2026,1
MCITL2,Methylisocitrate lyase,b0331,4
DXYLK,1-Deoxy-D-xylulose kinase,b3564,2
MDH3,Malate dehydrogenase (menaquinone 8 as acceptor),b2210,1
SOTA,Succinylornithine transaminase,b1748,2
SGSAD,Succinylglutamic semialdehyde dehydrogenase,b1746,1
PTA2,Phosphate acetyltransferase,b2297,6
MDH2,Malate dehydrogenase (ubiquinone 8 as acceptor),b2210,1
ACOTA,Acetylornithine transaminase,b2662 or b1748 or b3359 or b1302,2 or 2 or 2 or 1 
GPDDA5,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),b3449,1
PDX5PS,Pyridoxine 5'-phosphate synthase,b2564 and b0052,8 and 2 
PPBNGS,Porphobilinogen synthase,b0369,8
PPNCL2,Phosphopantothenate-cysteine ligase,b3639,12
PRAGSr,Phosphoribosylglycinamide synthase,b4005,1
PRFGS,Phosphoribosylformylglycinamidine synthase,b2557,1
ETHAAL,Ethanolamine ammonia-lyase,b2441 and b2440,6 and 6 
MAN1PT2,Mannose-1-phosphate guanylyltransferase (GDP),b2049,1
AP4AH,Ap4A hydrolase,b0049,1
AP5AH,Ap5A hydrolase,b0049,1
ADNCYC,Adenylate cyclase,b3806,1
MI1PP,Myo-inositol 1-phosphatase,b2533,1
MCITS,2-methylcitrate synthase,b0333,2
PPAKr,Propionate kinase,b3115,1
NTP3,Nucleoside-triphosphatase (GTP),b3590 or b2918 or b4352 or b4161 or b2727 or b2173 or b4173,1 or 1 or 1 or 1 or 1 or 1 or 1 
PPM2,Phosphopentomutase 2 (deoxyribose),b4383,1
MOAT2,3-deoxy-D-manno-octulosonic acid transferase,b3633,1
G6PDH2r,Glucose 6-phosphate dehydrogenase,b1852,1
NADH5,NADH dehydrogenase (ubiquinone-8 ),b3713 or b1109 or b0046 or b1004,2 or 1 or 2 or 4 
MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,b0134,10
GMPS,GMP synthase,b2507,2
UDPGD,UDPglucose 6-dehydrogenase,b2028,2
GLCRD,Glucarate dehydratase,b2788 or b2787,1 or 1 
PPPNDO,Phenylpropanoate Dioxygenase,b2540 and b2542 and b2538 and b2539,1 and 1 and 1 and 1 
CHRPL,Chorismate pyruvate lyase,b4039 or b1096,1 or 2 
TDPAGTA,"DTDP-4-amino-4,6-dideoxy-D-glucose transaminase",b3791,4
UACMAMO,UDP-N-acetyl-D-mannosamine oxidoreductase,b3787,2
FBA3,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",b2925,2
PMPK,Phosphomethylpyrimidine kinase,b2103,4
LCADi,Lactaldehyde dehydrogenase,b1415,4
ADK3,Adentylate kinase (GTP),b0474,1
GLUDC,Glutamate Decarboxylase,b3517 or b1493,6 or 6 
BSORy,Biotin sulfoxide reductase,b3551,1
ADSK,Adenylyl-sulfate kinase,b2750,2
HSDy,Homoserine dehydrogenase (NADPH),b3940 or b0002,2 or 4 
CYSTL,Cystathionine b-lyase,b3008 or b1622,4 or 2 
SHSL1,O-succinylhomoserine lyase (L-cysteine),b3939,4
SSALy,Succinate-semialdehyde dehydrogenase (NADP),b1525 or b2661,2 or 4 
3HCINNMH,3-hydroxycinnamate hydroxylase,b0347,1
BSORx,Biotin sulfoxide reductase,b3551,1
GLUtex,L-glutamate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLYtex,Glycine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLYALDtex,Glyceraldehyde transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLYBtex,Glycine betaine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLYCtex,Glycerol transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLYC3Ptex,Glycerol-3-phosphate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GLYCLTtex,Glycolate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GTPtex,GTP transport via diffusion (extracellular to periplasm),b0241 or b1377 or b2215 or b0929,3 or 1 or 3 or 3 
GUAtex,Guanine transport via diffusion (extracellular to periplasm),b0411,1
Htex,Proton transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
H2tex,Hydrogen transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
H2Otex,H2O transport via diffusion (extracellular to periplasm),b1377 or b2215 or b1319 or b3875 or b0957 or b0241 or b0929,1 or 3 or 1 or 1 or 1 or 3 or 3 
FACOAL160t2pp,Fatty-acid-CoA ligase (hexadecanoate transport via vectoral Co-A coupling),b1701 or b1805,1 or 2 
FACOAL180t2pp,Fatty-acid-CoA ligase (octadecanoate transport via vectoral Co-A coupling),b1701 or b1805,1 or 2 
SPODMpp,Superoxide dismutase,b1646,1
NO3R1bpp,Nitrate reductase (Ubiquinol-8),b2204 and b2205 and b2202 and b2203 and b2206,1 and 1 and 1 and 1 and 1 
PHYTSpp,Phytase (periplasm),b0980,2
PPTHpp,Phosphonate hydrogenase (periplasm),b0383,2
NO3R2pp,Nitrate reductase (Menaquinol-8) (periplasm),( b1466 and b1467 and b1468 and b1465 ) or ( b1226 and b1224 and b1227 and b1225 ),( 1 and 1 and 1 and 1 ) or ( 1 and 2 and 2 and 2 ) 
NTP3pp,Nucleoside-triphosphatase (GTP) (periplasm),b0980,2
NO3R2bpp,Nitrate reductase (Menaquinol-8) (periplasm),b2203 and b2206 and b2202,1 and 1 and 1 
THD2pp,NAD(P) transhydrogenase (periplasm),b1602 and b1603,2 and 2 
TMAOR1pp,Trimethylamine N-oxide reductase (menaquinol 8) (periplasm),( b0997 and b0996 ) or ( b1872 and b1873 ),( 1 and 1 ) or ( 1 and 1 ) 
TMAOR2pp,Trimethylamine N-oxide reductase (demethylmenaquinol 8) (periplasm),( b0997 and b0996 ) or ( b1872 and b1873 ),( 1 and 1 ) or ( 1 and 1 ) 
DAPtex,"1,5-Diaminopentane transport via diffusion (extracellular to periplasm)",b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
12PPDStex,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
DDGLCNtex,2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
26DAHtex,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
HCINNMtex,3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
HPPPNtex,3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,3 or 3 or 1 or 3 
ACtex,Acetate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ACALDtex,Acetaldehyde transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ACMANAtex,N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,3 or 3 or 3 or 1 
ACMUMtex,N-acetylmuramate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ACACT7r,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),b2342 or b3845,1 or 2 
PSP_L,Phosphoserine phosphatase (L-serine),b4388,1
ACACT2r,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),b2342 or b3845,1 or 2 
ACACT3r,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),b2342 or b3845,1 or 2 
ACACT4r,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),b2342 or b3845,1 or 2 
SUCCt2_2pp,Succinate transport via proton symport (2 H) (periplasm),b3528 or b0010,1 or 1 
SUCFUMtpp,Succinate:fumarate antiporter (periplasm),b0621 or b4123 or b4138,1 or 1 or 1 
SUCptspp,Sucrose transport via PEP:Pyr  (periplasm),b2416 and b2417 and b2415 and b2429,2 and 1 and 1 and 1 
SULabcpp,Sulfate transport via ABC system (periplasm),( b0765 and b0764 and b0763 ) or ( b2422 and b2423 and b2424 and b2425 ) or ( b2424 and b2422 and b2423 and b3917 ),( 1 and 2 and 1 ) or ( 2 and 1 and 1 and 1 ) or ( 1 and 2 and 1 and 1 ) 
TSULabcpp,Thiosulfate transport via ABC system (periplasm),( b2424 and b2423 and b2422 and b3917 ) or ( b2424 and b2422 and b2425 and b2423 ),( 1 and 1 and 2 and 1 ) or ( 1 and 2 and 1 and 1 ) 
TARTRt7pp,Tartrate/succinate antiporter (periplasm),b3063,1
AHGDx,(S)-alpha-hydroxyglutarate dehydrogenase,b2913,4
TAURabcpp,Taurine transport via ABC system (periplasm),b0367 and b0365 and b0366,2 and 1 and 2 
THMDt2pp_copy1,,b2964 or b2393,1 or 1 
Kt2pp,Potassium transport in via proton symport (periplasm),( b1363 and b1291 and b3290 ) or ( b1291 and b3849 and b3290 ) or b1250 or b3747,( 1 and 1 and 1 ) or ( 1 and 1 and 1 ) or 4 or 1 
AKGt2rpp,2-oxoglutarate reversible transport via symport (periplasm),b2587,1
XYLt2pp,D-xylose transport in via proton symport (periplasm),b4031,1
THMabcpp,Thiamine transport via ABC system (periplasm),b0068 and b0066 and b0067,1 and 2 and 2 
THMDt2pp_copy2,,b2406,1
THRabcpp,L-threonine transport via ABC system (periplasm),b3457 and b3455 and b3456 and b3460 and b3454,1 and 1 and 1 and 1 and 1 
TREptspp,Trehalose transport via PEP:Pyr PTS (periplasm),b2416 and b2417 and b4240 and b2415,2 and 1 and 2 and 1 
TRPt2rpp,L-tryptophan reversible transport via proton symport (periplasm),b3709 or b3161 or b0112,1 or 1 or 1 
TYRt2rpp,L-tyrosine reversible transport via proton symport (periplasm),b1907 or b0112,1 or 1 
URIt2pp_copy1,,b2964 or b2393,1 or 1 
URIt2pp_copy2,,b2406,1
VALabcpp,L-valine transport via ABC system (periplasm),b3455 and b3456 and b3457 and b3460 and b3454,1 and 1 and 1 and 1 and 1 
XTSNt2rpp,Xanthosine transport via proton symport (periplasm),b2406,1
XYLabcpp,D-xylose transport via ABC system (periplasm),b3566 and b3568 and b3567,1 and 2 and 1 
XYLUt2pp,L-xylulose transport in via proton symport (periplasm),b3578 and b3577 and b3579,1 and 1 and 1 
THRt4pp,L-threonine  via sodium symport (periplasm),b3089,1
GALtex,D-galactose transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GALCTtex,D-galactarte transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GALCTNtex,D-galactonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GALTtex,Galactitol transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GALURtex,D-galacturonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GTPCI,GTP cyclohydrolase I,b2153,10
FDMO,FMNH2-dependent monooxygenase,b0935,4
FEOXAMabcpp,Ferroxamine transport via ABC system (periplasm),b0153 and b0152 and b0151,1 and 1 and 2 
CBL1abcpp,Cob(1)alamin transport via ABC system (periplasm),b0158 and b1709 and b1711,1 and 2 and 2 
ACACt2pp,Acetoacetate transport via proton symport  (periplasm),b2223,1
ACGAptspp,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),( b2415 and b2416 and b2417 and b1101 ) or ( b2416 and b2415 and b0679 ),( 1 and 2 and 1 and 2 ) or ( 2 and 1 and 2 ) 
ACMANAptspp,N-acetyl-D-mannosamine transport via PTS  (periplasm),b1817 and b1818 and b2415 and b2416 and b1819,2 and 1 and 1 and 2 and 2 
ACNAMt2pp,N-acetylneuraminate proton symport (periplasm),b3224,1
CHOLD,Choline dehydrogenase,b0311,1
DRPA,Deoxyribose-phosphate aldolase,b4381,1
TKT2,Transketolase,b2935 or b2465,2 or 1 
FEENTERabcpp,Fe-enterobactin transport via ABC system (periplasm),b0590 and b0589 and b0592 and b0588,1 and 1 and 1 and 2 
FECRMabcpp,Ferrichrome transport via ABC system (periplasm),b0152 and b0153 and b0151,1 and 1 and 2 
GAMtex,D-glucosamine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GBBTNtex,Gamma-butyrobetaine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ARBt2rpp,L-arabinose transport via proton symport (periplasm),b2841,1
DMSOR1pp,Dimethyl sulfoxide reductase (Menaquinol 8) (periplasm),b1872 and b1873,1 and 1 
ARGabcpp,L-arginine transport via ABC system (periplasm),( b2310 and b2308 and b2306 and b2307 ) or ( b0862 and b0860 and b0864 and b0861 ) or ( b0862 and b0864 and b0863 and b0861 ),( 1 and 1 and 2 and 1 ) or ( 1 and 1 and 1 and 1 ) or ( 1 and 1 and 1 and 1 ) 
ARGAGMt7pp,Arginine/agmatine antiport (periplasm),b4115,2
ASCBptspp,L-ascorbate transport via PEP:Pyr PTS (periplasm),b2416 and b4193 and b4195 and b2415 and b4194,2 and 2 and 1 and 1 and 1 
ASNt2rpp,L-asparagine reversible transport via proton symport (periplasm),b1453,1
ASPabcpp,L-aspartate transport via ABC system (periplasm),b0655 and b0654 and b0652 and b0653,1 and 1 and 2 and 1 
ASPt2pp,L-aspartate transport in via proton symport (periplasm),b4077,1
ASPt2_2pp,Aspartate transport via proton symport (2 H) (periplasm),b3528,1
ASPt2_3pp,L-asparate transport via proton symport (3 H) (periplasm),b4138 or b4123,1 or 1 
HIStex,L-histidine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
HXAtex,Hexanoate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
HYXNtex,Hypoxanthine transport via diffusion (extracellular to periplasm),b0929 or b2215 or b0241 or b1377,3 or 3 or 3 or 1 
IDONtex,L-idonate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ILEtex,L-isoleucine transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
INSTtex,Inositol transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
INStex,Inosine transport via diffusion (extracellular to periplasm),b0411,1
Ktex,Potassium transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
D_LACtex,D-lactate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
NTD8pp,5'-nucleotidase (dGMP),b4055 or b0480,4 or 1 
FRULYStex,Fructoselysine transporter via diffusion (extracellular),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
GALCTt2rpp,"D-galactarte transport via proton symport, reversible (periplasm)",b2789 or b3127,1 or 1 
GALt2pp,D-galactose transport in via proton symport (periplasm),b2943,1
ASPtex,L-aspartate transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
ABUTt2pp,4-aminobutyrate transport in via proton symport (periplasm),b2663,1
CYSabcpp,L-cysteine uptake via ABC system (periplasm),b1920 and b1918 and b1917,1 and 2 and 2 
SBTptspp,D-sorbitol transport via PEP:Pyr PTS (periplasm),b2702 and b2704 and b2416 and b2703 and b2415,1 and 1 and 2 and 1 and 1 
TREHpp,"Alpha,alpha-trehalase (periplasm)",b1197,1
CYTBDpp,Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm),( b0978 and b0979 ) or ( b0733 and b0734 and b4515 ),( 1 and 1 ) or ( 1 and 1 and 1 ) 
CYTBD2pp,Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm),b0978 and b0979,1 and 1 
ACt2rpp,Acetate reversible transport via proton symport (periplasm),b0010,1
ATPS4rpp,ATP synthase (four protons for one ATP) (periplasm),( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 ),( 3 and 1 and 1 and 1 and 3 and 1 and 10 and 1 and 2 ) or ( 3 and 1 and 1 and 1 and 3 and 10 and 1 and 2 ) 
INDOLEtex,Indole transport via diffusion (extracellular to periplasm),b1377 or b0241 or b0929 or b2215,1 or 3 or 3 or 3 
L_LACtex,L-lactate transport via diffusion (extracellular to periplasm),b2215 or b0929 or b1377 or b0241,3 or 3 or 1 or 3 
ACt4pp,Na+/Acetate symport (periplasm),b4067,2
ADEt2rpp,Adenine transport via proton symport (reversible) (periplasm),b3714 or b3654 or b3664,1 or 1 or 1 
ADNt2pp_copy1,,b2964 or b2393,1 or 1 
ADNt2pp_copy2,,b2406,1
ALAabcpp,L-alanine transport via ABC system (periplasm),b3460 and b3456 and b3454 and b3455 and b3457,1 and 1 and 1 and 1 and 1 
ALLabcpp,D-allose transport via ABC system (periplasm),b4088 and b4087 and b4086,1 and 1 and 2 
ALLTNt2rpp,Allantoin transport in via proton symport (periplasm),b0511,1
ARBabcpp,L-arabinose transport via ABC system (periplasm),b1901 and b4460 and b1900,1 and 2 and 2 
ECOAH8,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA),b2341 or b3846,1 or 2 
GLCDpp,Glucose dehydrogenase (ubiquinone-8 as acceptor) (periplasm),b0124 or b0837,1 or 1 
GUAtpp,Guanine transport via diffusion (periplasm),b4464 or b4064,1 or 1 
HYD2pp,Hydrogenase (menaquinone8: 2 protons) (periplasm),( b0974 and b0973 and b0972 ) or ( b2996 and b2994 and b2997 and b2995 ),( 2 and 4 and 4 ) or ( 1 and 1 and 1 and 1 ) 
HYXNtpp,Hypoxanthine transport (periplasm),b4064 or b4464,1 or 1 
FE3DCITabcpp,Iron transport from ferric-dicitrate via ABC system (periplasm),b4289 and b4287 and b4288 and b4290,1 and 2 and 1 and 1 
